timestamp,OAT,Electricity:Facility [kWh](TimeStep),HVAC_Elec
2023/ 01/03  08:15:00,46.265,1.650152792,1.31267557
2023/ 01/03  08:30:00,46.49,1.306450302,1.067674972
2023/ 01/03  08:45:00,46.715,1.302582615,1.063807285
2023/ 01/03  09:00:00,46.94,1.298231057,1.059455727
2023/ 01/03  09:15:00,47.705,1.291235892,1.062182003
2023/ 01/03  09:30:00,48.47,1.294910661,1.065856772
2023/ 01/03  09:45:00,49.235,1.286850487,1.057796598
2023/ 01/03  10:00:00,50,1.703059195,1.356278304
2023/ 01/03  10:15:00,50.9,1.531211848,1.178082193
2023/ 01/03  10:30:00,51.8,1.380506744,1.02598708
2023/ 01/03  10:45:00,52.7,1.258419236,0.902555385
2023/ 01/03  11:00:00,53.6,1.160496471,0.80328811
2023/ 01/03  11:15:00,52.97,0.933547878,0.641135491
2023/ 01/03  11:30:00,52.34,0.758365354,0.521103935
2023/ 01/03  11:45:00,51.71,0.772639145,0.535377726
2023/ 01/03  12:00:00,51.08,0.771010741,0.533749322
2023/ 01/03  12:15:00,50.81,0.791304233,0.558376235
2023/ 01/03  12:30:00,50.54,0.816596831,0.583668833
2023/ 01/03  12:45:00,50.27,0.834923851,0.601995854
2023/ 01/03  13:00:00,50,0.858113702,0.625185704
2023/ 01/03  13:15:00,50,0.845845161,0.617511845
2023/ 01/03  13:30:00,50,0.839187557,0.610854241
2023/ 01/03  13:45:00,50,1.241312157,0.893812883
2023/ 01/03  14:00:00,50,1.234435258,0.885345316
2023/ 01/03  14:15:00,50,1.200184481,0.849873772
2023/ 01/03  14:30:00,50,1.142224278,0.798776635
2023/ 01/03  14:45:00,50,0.745257748,0.517278183
2023/ 01/03  15:00:00,50,0.72217506,0.494195495
2023/ 01/03  15:15:00,50,0.731446972,0.485192031
2023/ 01/03  15:30:00,50,0.742467634,0.496212693
2023/ 01/03  15:45:00,50,0.735707929,0.489452988
2023/ 01/03  16:00:00,50,0.736788563,0.490533622
2023/ 01/03  16:15:00,48.02,0.824799136,0.516630321
2023/ 01/03  16:30:00,46.04,0.892686727,0.584517912
2023/ 01/03  16:45:00,44.06,1.042932729,0.734763915
2023/ 01/03  17:00:00,42.08,1.189380108,0.881211293
2023/ 01/03  17:15:00,42.305,1.208094009,0.822353526
2023/ 01/03  17:30:00,42.53,1.583222233,1.079022831
2023/ 01/03  17:45:00,42.755,1.539373847,1.03392296
2023/ 01/03  18:00:00,42.98,1.476338432,0.969636198
2023/ 01/03  18:15:00,43.745,1.427914151,0.882322513
2023/ 01/03  18:30:00,44.51,1.30493945,0.784325875
2023/ 01/03  18:45:00,45.275,0.950049993,0.526619899
2023/ 01/03  19:00:00,46.04,0.927517674,0.504087581
2023/ 01/03  19:15:00,45.77,0.930709301,0.513413948
2023/ 01/03  19:30:00,45.5,0.944312124,0.527016771
2023/ 01/03  19:45:00,45.23,0.960739693,0.54344434
2023/ 01/03  20:00:00,44.96,0.98584111,0.568545757
2023/ 01/03  20:15:00,44.24,1.004474559,0.592207814
2023/ 01/03  20:30:00,43.52,1.249317727,0.77827042
2023/ 01/03  20:45:00,42.8,1.495464462,0.964697418
2023/ 01/03  21:00:00,42.08,1.523078624,0.991115642
2023/ 01/03  21:15:00,41.045,1.517984115,1.017947645
2023/ 01/03  21:30:00,40.01,1.560456552,1.059211226
2023/ 01/03  21:45:00,38.975,1.274180968,0.861156314
2023/ 01/03  22:00:00,37.94,1.178883152,0.799748002
2023/ 01/03  22:15:00,36.95,1.178903032,0.874331389
2023/ 01/03  22:30:00,35.96,1.243582698,0.939011056
2023/ 01/03  22:45:00,34.97,1.303582994,0.999011352
2023/ 01/03  23:00:00,33.98,1.361227951,1.056656309
2023/ 01/03  23:15:00,33.755,1.30057531,1.061917785
2023/ 01/03  23:30:00,33.53,1.291083468,1.052425943
2023/ 01/03  23:45:00,33.305,1.29009331,1.051435784
2023/ 01/03  24:00:00,33.08,1.29646752,1.057809995
2023/ 01/04  00:15:00,32.81,1.28670595,1.101023444
